Item ID,Sentiment,SentimentText
1,0,"@RailMinIndia My PNR is 8348062961, I am in way but there is no water in toilet and mess is everywhere in coach. please provide basic facil."
2,0,@sureshpprabhu @RailMinIndia AC not working in prayag lucknow intercity today which departed from prayag at 3.45 pm..staff not helping us
3,0,@RailMinIndia I'm traveling to chennai by train 16102 coach S4-46. My berth is very dirty(some one vomitted on the birth).
4,5,@RailMinIndia irctc is not responding at the time of tatkal booking.
5,7,@DRMbhopal @RailMinIndia @sanjaygupta2012 @drmncrald Matter notified to concerned official @BhusavalDivn
6,6,@RailMinIndia If you can't give justice to graduate engineers then just do one thing at least. Stop recruiting B. Tech. as SSE.
7,4,@sureshpprabhu @RailMinIndiaPlz wrkout smthng tht cn hlp trains to run on right time.Malwa exprs delayed more than 3 hrs @ Mathura junction
8,0,@RailMinIndia @mumbairailusers Dirty water flowing ftm blower of local coach aft 1st rain. 8.08 Thane Vashi https://t.co/mBZUOFkLXQ
9,6,Enter to win $150 Amazon Gift Card! #Books #PNR #UrbanFantasy #Romance https://t.co/jBfXzDe7P2
10,3,@RailMinIndia still vendors are selling local local products like water etc. inside the train https://t.co/wdFyLlmMek
11,4,@Central_Railway @RailMinIndia @drmmumbaicr please update the status of today 12141 LTT PPTA EXPRESS departure from LTT.
12,0,@RailMinIndia #Swatch Bharat Abhiyaan# Train stops at kozhikod(calicut) but no one comes in 12218 coachA1 #no water# https://t.co/h5uUdJuvel
13,5,@RailMinIndia @sureshpprabhu my reserved ticket was been allotted to RAC passenger as we boarded from next station. Kindly please help ??
14,4,@RailMinIndia  update:- today intercity 12930 late 16 min?
15,0,@RailMinIndia  TRAIN NO 12656 THERE IS NO PROPER WATER SERVICE IN TRAIN KINDLY LOOK INTO MATTER.. https://t.co/VIQmURi8HK
16,6,The Google i1 button is used 5 billion times pnr day. (source: AllTwitter)
17,3,"@RailMinIndia Sir, ?? ?????? ????? ?????? ?? ?????????? ?? 6 ?? water point ???? ???? ??? ?? ??? ???  ?????? ??????. https://t.co/sMfHUZdN2U"
18,4,@RailMinIndia Train has departed Varanasi and will be reaching Chunar in few minutes and then Mirzapur.
19,4,@sureshpprabhu  @RailMinIndia student's pnr 2119025096 Not confirmed Tkt counter@ Raeberali denying refund sayin  he is late to reach window
20,5,"@RailMinIndia Dear Sir, my father is a senior citizen and is a patient too.Travelling alone and his seat is not confirmed but is having RAC."
21,4,@sureshpprabhu @RailMinIndiaTrain EMU 64439 Ghaziabad to New Delhi daily late.Kindly check &amp; resolved issue.
22,1,"@RailMinIndia @YourSKD Sir, FIR lodged by GRP/Bandikui vide Cr.No. 34/16 U/S 380 IPC"
23,0,@RailMinIndia  travelling from Howrah to cuttack in 12073 Jan Shatabdi exp in coach no C2. There is no cleanliness in the coach.
24,0,@RailMinIndia there is no water n clear in Train No 12656 PNR 4837665503 please look into matter seriously
25,5,@RailMinIndia hi sir.i need help from u.my wife and my son of 4years is hvng waiting ticket 4-1st AC of pnr 2119063322of bilaspur rajhdhani
26,3,"@RailMinIndia @drmbct @sureshpprabhu paschim express, vendor doesn't give food mentioned in the menu, so ppl have no option 2 food of choice"
27,5,"@RailMinIndia hello sir I want going to village, I have no money buy of ticket .what i do plz help me"
28,4,RT @prateekpharmpt: @RailMinIndia Everyday magadh exp 12401 running late 3to 5 hrs without any reson.  Is anyome have responsibility. P… 
29,1,"@RailMinIndia @sureshpprabhu My bro lost his luggage, luks like by rail officials at dindigul station. PNR:4840503630,ph. 9994437217,pl help"
30,7,@RailMinIndia @vivek05102229 Kindly share PNR number &amp; contact number.
31,0,"@RailMinIndia in train no. 12183, there is no water i. Coach no. SE-4 for use in toilets"
32,4,@RailMinIndia what's the reason behind the delay of 9 hours of 14312 ala hazrat exp. We had to go back home from station.
33,0,@RailMinIndia - pathetic and dirty toilet of B1 and A1 of 22940 bilaspur Hapa express.Please help.
34,6,@RailMinIndia @khushalvakharia Poor service by railways.
35,0,@RailMinIndia no water in train no. 18104 after running of 5 hrs.
36,4,@sureshpprabhu sir if it is further delayed it clash will with academic session @RailMinIndia https://t.co/rOK3sJldqa
37,4,@RailMinIndia @sureshpprabhu  frm Jbp to Patna pnr 83478 48608.will this reach on time?It is ruing like pasr not SF :(.tol disappointing
38,5,@RailMinIndia  I tried to cancel my I ticket before chart preparation. But due to login problem i was unable to do so Pnr no. is-2119194363
39,6,"I applaud Indian Railway 4commendable service.We had issue with charging pt, attendants quickly came,plucked entire… https://t.co/IenAa6lzLj"
40,7,@RailMinIndia @RupSgsits @ed_eeg @drmsbc Matter notified to officials concerned @electrlbzascr
41,4,@sureshpprabhu @RailMinIndia   train no. 12497 stuck at bhodwal st. And no one to help . No one is telling the reasone for delay . PL. HELP
42,4,@RailMinIndia Railway was never been so irresponsible. so called fake development is happening. railway was never been so irresponsible. ????
43,1,"@sureshpprabhu @RailMinIndia @IRCTC_Ltd plz hlp,He is missing since 15 days&amp; today sum1 has seen him at ADI station https://t.co/FHSjhfKb4L"
44,0,@sureshpprabhu @RailMinIndia PNR 2119050261 train no. 12472 coach A1 ac is not working since the start of journey from Jammu Tavi
45,0,"@sureshpprabhu sir at Old Delhi Railway station bag scanning machine not working,no checkpoint for luggage check.@RailMinIndia."
46,1,"@RailMinIndia @Parashuram_vns Sir, FIR lodged by GRP/Satna vide Cr.No. 039/16 U/S 380 IPC has been transferred to GRP/Allahabad."
47,4,"@RailMinIndia it means make extra late a train running late by 3.00 hrs. In summer season, not in winter when too much fog was in atmosphere"
48,3,@RailMinIndia RPF at some serious eating business. Pantry is for them not for passengers. Shri Shakti exp today https://t.co/L7xnUt8d78
49,5,@RailMinIndia @sureshpprabhu : TT should regularly visit First Class for pass/ticket checking...
50,4,@RailMinIndia @srdcmbsb @gmner_gkp Pls tell me T. no 55150 will originate today from BCY or not?
51,4,@RailMinIndia below stated train waste almost one and half hour on platform please try to fix up less time!!! Help https://t.co/eFBcgrduwr
52,3,@sureshpprabhu @RailMinIndia IRCTC canteen in mysore selling water 5rs more than MRP. Just bought for 20/- https://t.co/yPfqZfPA17
53,0,"@sureshpprabhu ?? iam also Indian citizen and Tandur station also in India.... No action, no reply, no water @RailMinIndia @SCRailwayIndia"
54,4,@RailMinIndia 18237 engine failed at silyari they still making the announcement that train is coming they should announce the expected time
55,5,@rpfcrsur @RailMinIndia how many months or should i say years should i wait for the Conscience of #CORRUPT #ROTTEN… https://t.co/2h0v7KWzgy
56,4,"@RailMinIndia @sanjaygupta2012 Train handled over late by more than 6 hours from previous division, @drmjabalpur @drmncrald  kindly update."
57,5,@RailMinIndia @sureshpprabhuSir at new delhi station only one counter is working for platform ticket... huge line nd people waiting..
58,4,@RailMinIndia @PiyushGoyal @RailwayNorthern My parents are travelling in 15231 pnr no. 6408164808 the coach S5 is n… https://t.co/Ig9TPufytc
59,5,@RailMinIndia @sureshpprabhu I want to know y the waiting list ticket can't be cancelled at the same time of departure of the train?
60,4,@RailMinIndia @drmumb 14208 held up between bareilly and shahjanpur. Delayd by 2.5 hrs. No other train on route is delyd. Y 14208 victimizd?
61,2,@sureshpprabhu @RailMinIndia I Request for doctor for pain killer injection at rewari stn in 19718 no one arrived its urgent matter
62,5,"@RailMinIndia  Train no: 12017. Pnr: 2646724070. Reserved 2 tckts, 1 wtng. If only chair seats, then why allow waiting in shatabdi trains."
63,0,"@RailMinIndia @sureshpprabhu pnr no: 8747892216,train no : 22981, Coach:S7, All Fan is not working in coach S7, mercury is too high,plz help"
64,5,@RailMinIndia tried tatkal booking for Delhi Goa Rajdhani at Jalandar city railway station but was not supported by the staff
65,5,"@sureshpprabhu @RailMinIndia i m hvng ac with irctc &amp; today i ws loged in at 8am,i hv seen da within 8.01 am all ac tickets r sold."
